rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
A5A614	18.09804132905467	17.791677760128987	17.672821272487646	16.975286511078377	18.23409057060256	18.303499016645045	17.93202680305128	17.36598207974085	18.03185673137941	17.79819208816422	18.433978425734193	19.225705920011883	18.017080133186486	17.362132743530108	17.47140089531608	17.874945811109576	17.393555064384984	17.493705646334092	17.60437418327845	17.263285710075927	17.645604256890795	17.587736010096364	17.171145535023612	16.897546585139594
O32583	18.82452967373756	19.09776288242191	18.67331999473908	17.742388414318683	18.94820333676708	18.493940651490334	19.09376868898896	19.268686042951003	17.776014460566593	18.896532698668246	19.26525099169268	19.365652810227402	19.299095428975548	19.205612902489598	18.55233928210535	19.212566571932996	18.604129718149572	19.20877945064047	19.364628807390247	19.029847130029495	18.332075054256073	18.999770837995776	18.83033524784586	19.15265342096044
P00350	25.191545180367548	25.222065870666583	25.39768655894552	25.43546970261735	25.39255569089921	25.312227676381696	25.22299943233655	25.246088147836257	25.09992686697065	25.265962472270544	25.26984245693886	24.585828730113473	25.3910059432129	25.262662314029935	25.39664345692916	25.465296767562872	25.626527603638845	25.38968549988974	25.622826557044704	25.527606356843474	25.45186125876359	25.4896534512749	25.503801943366778	25.504535811458286
P00363	23.465464250429	23.54726581605822	23.542874102854597	23.39659088229042	23.45058028161037	23.397542444342868	22.79700369322287	23.257754797885234	23.56994855814714	23.256698921191834	23.072856149587466	22.37773215723606	23.152456783570628	23.409372563502146	23.399632998175903	23.13019967426736	23.20833556159564	23.308186657681098	23.004825096978614	23.2178489656949	23.145120191932456	23.416159033482735	23.24336515481356	23.123686293747895
P00370	24.552312738379726	24.476555189794794	25.159310440382928	25.0082975503136	24.4574606408394	24.41053343002815	24.294272402899637	24.372862178457286	24.459425519551058	24.16747274934817	24.199556389942355	23.272170592848763	24.298924504459197	24.184377171162048	25.190840211912608	25.059430844063865	25.05612142182291	24.4241100730871	24.9165994521423	25.02165164079724	25.19128364367563	25.41961030276702	24.50415711489599	25.088971912629788
P00393	22.707750647452258	22.756563947773127	22.637289522951665	22.740354798870484	22.48435636218791	22.722463412911434	22.8086675985962	22.367565291263883	21.78037626252579	22.540876326830176	22.67540557411727	21.68100421460678	22.781123466518086	22.475817971210862	22.605777085730402	22.752957467745144	22.52059191393708	22.231618529598503	22.672538829189286	22.513161822014915	22.776390909159524	22.84247118765479	22.408210265892574	22.731786587699897
P00448	25.07732571104829	24.992484343741765	24.43294514970804	24.34706579347103	24.983591833421862	24.711330800486557	25.695811213139024	25.469685723713482	25.023436071120436	25.383364376378353	25.152789500670927	25.790728675894883	25.470522250177297	25.578296374458667	24.56206089161205	24.352342109216565	24.697453077817677	24.545721426859956	24.743536601924255	24.9076797773804	24.62140869982042	24.425628060418468	24.842374481652904	24.723110448925475
P00452	22.872321191399486	22.932508596801505	22.578484128676976	22.718933063746213	22.669021057918044	22.907830259458116	23.030607319839724	22.52225896211408	22.016580843882913	22.699084935120183	22.858047399952895	21.838697837046396	22.973247239510954	22.613607038834154	22.636296840003524	22.712602782538752	22.752143665955685	22.166128208905036	22.86612173525753	22.58538175127402	22.785107375799846	22.753923146364585	22.54055307028792	22.748888586408455
P00490	22.224738028983005	22.35341466727396	22.95326521609109	23.077963603107314	22.09873528354165	22.167945956039024	22.561502811964697	22.206019794743362	21.67091711797573	22.240926527684692	22.13854182882255	21.342830420655076	22.34502942960571	22.207106721406593	23.00223010075029	22.856354713889285	22.949391197602065	22.65507880944779	22.822548532023454	23.055851313637568	22.98340753700618	22.996979102768474	22.943290037906902	23.045601849311506
P00509	25.173663023668876	25.126156524907923	24.649539655523053	24.782225638649837	24.875478119973295	25.28537427354562	25.217161903084396	24.922051620925927	24.56123158819659	24.963836374769542	25.205052795176734	24.626750499967038	25.245063065001425	24.974584518549477	24.696742176695647	24.8985683168404	24.926062112740443	24.69274939400016	25.03203423434354	24.78464122104321	25.030258788789926	24.870516240872696	24.752552173692447	24.962772986773416
P00547	24.3156364227927	24.26667754913488	24.113936219378463	24.06957444615696	24.289958002238198	24.082839265509516	24.555032710180836	24.446803093464457	24.458363617359915	24.272788684041707	24.368607119530786	24.519101445280562	24.377772496541557	24.46019466204507	24.178011344968258	24.14867521386175	24.086976621456632	24.005734188666075	24.067493167114925	24.111084272001033	24.09755983020225	24.133059223180748	23.96686767657864	24.067614382082198
P00550	21.500772091981425	21.447429377149543	21.085997769801324	21.228066738064957	21.353949146314065	21.406606868453085	21.629595760519823	21.47157389458417	21.383439164854032	21.52347935638203	21.241492291914824	20.418535046901543	21.44321648104909	21.43264336675591	21.121242310309466	21.168294613245674	21.142380166585852	21.157310506659226	21.194753266328377	21.25144099433173	21.171375840479048	21.05178567251454	21.25899540945239	21.172475593695815
P00561	25.89756929765981	26.044429283156436	25.5562629262915	25.741961629733623	25.615727675617546	25.673397201330427	26.10788251891259	25.74677639837028	25.293598056680526	25.544816077433783	26.042099762049816	25.028043089880427	25.940201320815152	25.745479723260353	25.538980798892997	25.639618941676975	25.647340157294515	25.041411132376385	25.662327222944583	25.576177992106746	25.822363580281877	25.733278895646226	25.306317640337884	25.714515286927753
P00562	21.871654259915555	21.844739427845816	22.347351506768383	22.224928457139157	22.041203876060056	21.987990383762877	21.53912539255647	21.51447241690873	21.842167790434498	21.724920480259282	21.66966232686116	20.822300476387724	21.79305287049721	21.58339035361808	22.409170767717814	22.356542465679137	22.296419457341546	21.978617335668204	22.350497864430487	22.175098680616816	22.334109522089065	22.464767585618187	22.12091437857049	22.33775095005576
P00579	22.655064003172505	22.66347386613899	22.749432075821666	22.79191766233325	22.691062943736323	22.715123189414363	22.775460122671824	22.611601353994565	22.45774185393161	22.644009456619834	22.6591350304276	21.716437691195672	22.662038261895884	22.571905801314024	22.74750583914629	22.873546766107836	22.800959039564844	22.643855323285628	22.83388568045633	22.68468568995467	22.836524219406893	22.81706275834074	22.570591337188535	22.906485630113036
P00579;P13445	19.58205977601892	20.189974045912024	18.40561848037813	20.131743107279657	19.398761228471738	19.54190486437106	19.475360649221045		19.35114781483971		19.537110472082983	17.56157078647675	19.997446837635465	19.78425091863996	17.592067138010112	19.025769346727465	20.157276020156566		20.112666463078476	19.793398448282076	19.5310185577761	19.129250782015475	18.495068907185885	20.27605026549312
P00582	22.10944364238804	22.1350087941581	22.029841807655384	22.020888654128484	22.081961626328493	22.16840586655917	22.302520045422913	22.243956896600924	21.96279707888279	22.202535257213917	22.123302664022443	21.20685987943534	22.142726915556512	22.18411189933423	21.98375698656411	22.015813040330702	22.045869406990622	21.983657895606758	22.085136267313278	22.023795693497107	22.039642411432872	22.010453657612768	22.036136638166838	22.04292412870831
P00634	19.942855244330314	19.71408250480366	19.76321074390415	19.297497569293455	20.1056537258357	20.065310297581668	20.069416390912668	20.320892747208617	20.437699843004605	20.25504222332247	20.140673897291848	20.884871173749946	20.30274099455787	20.20564522478088	19.744537968254917	19.89365674154958	19.51040913439563	20.062353405363307	19.755162252079053	19.696910443484978	19.67891815169268	19.428400794649097	19.731293745923715	19.755057882130792
P00803	21.621212168848757	21.576057427424196	21.777778458181682	21.809915736618866	21.952947309106737	21.625284309865688	21.820498770469513	21.93152000714703	22.05462128492874	21.92968950848122	21.532075787819362	20.726570069817647	21.69658042302174	21.980845429166003	21.7469718780042	21.752282156621906	21.6518260630675	21.97325252905452	21.71000345796668	21.767515349575284	21.549443984888153	21.64402632354378	21.857015488175502	21.732870127726418
P00805	23.154930281225475	23.031479578162077	22.194623964698202	21.71429412203785	23.513650037922126	23.06327617611064	22.056682514902093	23.607012954583546	24.46428218446364	23.338315460082235	22.978806991242763	23.23554507470802	23.059471005532217	23.438838639339266	22.275568597365634	21.808132870311326	21.705592823180034	22.40186829116589	21.14660793221178	22.025008785151186	21.657384374991466	22.053347141070546	22.21660614932685	21.69536038691664
P00811	19.561665543132648	19.620925885365075	19.64439096745613	19.6073538359347	19.804427281781397	19.497218702049555	19.66527665902061	19.815407995224938	20.031640699585683	19.85571240179793	19.673174825217902	19.56820638388504	19.68901793731721	19.86730876903615	19.742190055193856	19.79174335401242	19.83866849528871	19.940898703395217	19.81494867856574	19.829430623149506	19.632731767379198	19.599904941625937	19.980502415148013	19.716025054193626
