"file"	"lab"	"condition"
"Ref8537_QC1_20230414_1"	"lab_A"	"Pyr"
"Ref8537_QC3_20230414_1"	"lab_A"	"Glu"
"Ref8537_QC4_20230414_1"	"lab_A"	"Glu"
"Ref8537_S11_20230414"	"lab_A"	"Pyr"
"Ref8537_S35_20230414"	"lab_A"	"Pyr"
"Ref8537_S49_20230414"	"lab_A"	"Pyr"
"Ref8537_S52_20230414"	"lab_A"	"Glu"
"Ref8537_S60_20230414"	"lab_A"	"Glu"
"Ref8537_S65_20230414"	"lab_A"	"Glu"
"Ref8537_S69_20230414"	"lab_A"	"Glu"
"Ref8537_S75_20230414"	"lab_A"	"Glu"
"Ref8537_S79_20230414"	"lab_A"	"Glu"
"Ref8537_S82_20230414"	"lab_A"	"Glu"
"Ref8537_S88_20230414"	"lab_A"	"Glu"
"Ref8537_S94_20230414"	"lab_A"	"Glu"
"Ref8537_S100_20230414"	"lab_A"	"Glu"
